,Rugose (biofilm),,,,,,,,,RΔrbmA,,,,,,,,,RΔbap1,,,,,,,,RΔrbmC,,,,,,,RΔABC (no biofilm),,,,,,,
Time [h],Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,,Without nanoparticles,,,CS-AgNPS 0.11µg/ml,,,,Without nanoparticles,,,,"CS-AgNPS 0.11µg/ml
CS 0.22 μg/ml",,,
4.5,0.001,0.006,0.002,0.009,0.001,0.001,0.001,0,,-0.001,0.002,-0.001,0.002,0.0003,0.0006,0.0006,0.0013,,0.002,0,0.003,-0.0032,-0.002,-0.003,0.0005,,0.004,0.002,0.004,0.0006,0.001,0.001,,0.003,0.002,0.004,0.011,0.0008,0.0009,0.0007,0.0011
4.75,0.002,0.008,0.004,0.007,0.001,0.001,0.001,0,,0,0.003,0.001,0.001,0.0004,0.0004,0.0008,0.0015,,0.002,0,0.004,-0.0032,-0.002,-0.0029,0.0006,,0.003,0.003,0.004,0.0006,0.001,0.001,,0.003,0.002,0.005,0.013,0.0008,0.0009,0.0008,0.0011
5,0.002,0.008,0.005,0.009,0.001,0.001,0.001,0,,-0.002,0.004,0.001,0.001,0.0004,0.0006,0.0008,0.0016,,0.003,0.001,0.004,-0.0032,-0.0019,-0.0029,0.0006,,0.001,0.003,0.004,0.0007,0.001,0.001,,0.004,0.003,0.006,0.016,0.0009,0.001,0.0008,0.0012
5.25,0.003,0.006,0.003,0.01,0.001,0.001,0.001,0,,-0.001,0.005,0.002,0.003,0.0003,0.0009,0.0008,0.0016,,0.004,0.002,0.005,-0.0032,-0.0018,-0.0029,0.0007,,0.003,0.004,0.005,0.0007,0.0011,0.001,,0.005,0.003,0.008,0.018,0.0008,0.0011,0.001,0.0012
5.5,0.003,0.008,0.006,0.007,0.001,0.001,0.001,0,,0,0.007,0.003,0.005,0.0004,0.0007,0.001,0.0018,,0.005,0.003,0.006,-0.0031,-0.0018,-0.0028,0.0007,,0.003,0.005,0.006,0.0007,0.0012,0.001,,0.006,0.004,0.009,0.022,0.0008,0.0011,0.0009,0.0013
5.75,0.004,0.008,0.007,0.01,0.001,0.001,0.001,0,,0,0.008,0.005,0.008,0.0006,0.0008,0.0009,0.0019,,0.006,0.003,0.007,-0.0031,-0.0016,-0.0028,0.0006,,0.004,0.006,0.007,0.0007,0.0012,0.001,,0.008,0.005,0.011,0.024,0.0008,0.0012,0.001,0.0013
6,0.005,0.007,0.003,0.008,0.001,0.001,0.001,0,,-0.001,0.009,0.007,0.008,0.0008,0.0008,0.001,0.0022,,0.008,0.005,0.008,-0.003,-0.0017,-0.0028,0.0009,,0.003,0.007,0.008,0.0009,0.0012,0.001,,0.01,0.006,0.014,0.026,0.0008,0.0013,0.0011,0.0014
6.25,0.006,0.009,0.004,0.011,0.001,0.001,0.001,0,,0,0.011,0.007,0.011,0.0007,0.0009,0.0009,0.0021,,0.009,0.006,0.009,-0.003,-0.0016,-0.0027,0.0008,,0.003,0.009,0.008,0.0009,0.0013,0.001,,0.012,0.008,0.017,0.031,0.0008,0.0015,0.0011,0.0014
6.5,0.007,0.01,0.005,0.011,0.001,0.001,0.001,0,,-0.001,0.015,0.01,0.014,0.0007,0.0009,0.0012,0.0026,,0.011,0.008,0.011,-0.0029,-0.0016,-0.0027,0.0009,,0.005,0.011,0.01,0.001,0.0013,0.001,,0.014,0.009,0.02,0.035,0.0009,0.0015,0.0011,0.0015
6.75,0.008,0.009,0.011,0.014,0.001,0.001,0.001,0,,-0.001,0.015,0.011,0.018,0.0009,0.0009,0.0011,0.0026,,0.013,0.01,0.013,-0.0029,-0.0015,-0.0027,0.001,,0.004,0.012,0.011,0.0009,0.0015,0.001,,0.016,0.011,0.022,0.042,0.001,0.0016,0.0011,0.0016
7,0.01,0.01,0.006,0.013,0.001,0.001,0.001,0,,-0.001,0.017,0.013,0.022,0.0008,0.0008,0.0013,0.0027,,0.015,0.01,0.015,-0.0029,-0.0014,-0.0026,0.0011,,0.006,0.015,0.016,0.0009,0.0016,0.001,,0.019,0.014,0.026,0.046,0.0009,0.0018,0.0013,0.0017
7.25,0.012,0.015,0.008,0.014,0.001,0.001,0.001,0,,0,0.019,0.018,0.025,0.0008,0.0011,0.0012,0.0028,,0.017,0.013,0.017,-0.0029,-0.0014,-0.0026,0.001,,0.008,0.017,0.016,0.0011,0.0015,0.001,,0.023,0.016,0.031,0.052,0.0009,0.0019,0.0013,0.0017
7.5,0.013,0.014,0.009,0.016,0.001,0.001,0.001,0,,0,0.023,0.021,0.029,0.0009,0.0011,0.0013,0.003,,0.02,0.015,0.019,-0.0028,-0.0014,-0.0026,0.001,,0.009,0.02,0.018,0.0012,0.0015,0.001,,0.027,0.019,0.035,0.058,0.001,0.002,0.0014,0.0017
7.75,0.015,0.02,0.008,0.016,0.001,0.001,0.001,0,,0.001,0.028,0.026,0.032,0.0012,0.0011,0.0012,0.0031,,0.023,0.018,0.022,-0.0027,-0.0012,-0.0025,0.0011,,0.009,0.022,0.021,0.0012,0.0016,0.001,,0.032,0.022,0.041,0.064,0.001,0.0021,0.0015,0.0018
8,0.017,0.019,0.011,0.02,0.001,0.001,0.001,0,,0.001,0.03,0.028,0.038,0.0011,0.0012,0.0016,0.0035,,0.025,0.02,0.024,-0.0027,-0.0012,-0.0024,0.0013,,0.012,0.024,0.022,0.0012,0.0017,0.001,,0.037,0.026,0.047,0.069,0.001,0.0021,0.0015,0.0019
8.25,0.019,0.018,0.014,0.02,0.001,0.001,0.001,0,,0.003,0.035,0.03,0.04,0.0009,0.0013,0.0016,0.0035,,0.028,0.022,0.027,-0.0028,-0.0011,-0.0024,0.0012,,0.011,0.026,0.023,0.0014,0.0018,0.001,,0.042,0.031,0.053,0.075,0.001,0.0022,0.0015,0.0019
8.5,0.021,0.019,0.015,0.025,0.001,0.001,0.001,0,,0.004,0.038,0.035,0.043,0.0012,0.0011,0.0017,0.0038,,0.031,0.024,0.029,-0.0026,-0.0011,-0.0024,0.0014,,0.014,0.029,0.027,0.0014,0.0019,0.001,,0.048,0.036,0.058,0.081,0.0011,0.0024,0.0017,0.002
8.75,0.023,0.02,0.017,0.025,0.001,0.001,0.001,0,,0.006,0.046,0.039,0.046,0.0014,0.0015,0.0018,0.0039,,0.033,0.026,0.031,-0.0025,-0.001,-0.0023,0.0014,,0.016,0.031,0.028,0.0016,0.002,0.001,,0.053,0.041,0.064,0.087,0.0011,0.0024,0.0017,0.0021
9,0.025,0.021,0.018,0.029,0.001,0.001,0.001,0,,0.007,0.048,0.045,0.051,0.0012,0.0013,0.0018,0.004,,0.035,0.028,0.033,-0.0026,-0.001,-0.0024,0.0015,,0.018,0.033,0.032,0.0016,0.002,0.001,,0.06,0.047,0.07,0.093,0.0011,0.0026,0.0018,0.0022
9.25,0.027,0.024,0.021,0.031,0.001,0.001,0.001,0,,0.009,0.052,0.047,0.056,0.0015,0.0013,0.0021,0.0044,,0.038,0.03,0.036,-0.0025,-0.0009,-0.0023,0.0017,,0.018,0.036,0.032,0.0016,0.002,0.001,,0.066,0.052,0.076,0.099,0.0011,0.0026,0.0018,0.0022
9.5,0.029,0.028,0.022,0.035,0.001,0.001,0.001,0,,0.01,0.057,0.053,0.062,0.0015,0.0014,0.0021,0.0046,,0.04,0.032,0.039,-0.0024,-0.0008,-0.0023,0.0017,,0.02,0.038,0.034,0.0016,0.002,0.001,,0.072,0.058,0.081,0.105,0.0011,0.0028,0.0018,0.0022
