STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/1/15,16.55,,0,,0,0,21,29,19,,250,260,25.9,36.9,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/2/15,6.49,,0,,0,0,29,34,22,,260,250,18.1,21.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/3/15,6.71,,0.47,,0.6,0,29,33,22,,120,120,15,19.9,1,,,,,1,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/4/15,10.96,,0.15,,0.9,0,31,32,14,,290,290,25.1,33.1,1,1,,,,1,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/5/15,13.2,,0.04,,1.2,2,10,14,4,,280,280,25.1,35.1,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/6/15,12.97,,0.07,,0.9,3.1,9,17,5,,260,260,25.9,35.1,1,,,,,,1,1
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/7/15,13.65,,0,,0,3.1,9,13,1,,330,310,21.9,29.1,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/8/15,18.79,,0.05,,1.1,3.9,4,13,-1,,200,200,28,35.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/9/15,14.54,,0.06,,1.3,5.1,11,15,3,,270,270,28,36.9,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/10/15,12.97,,0,,0,5.1,6,16,2,,210,240,21.9,28,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/11/15,10.51,,0.14,,1.5,5.1,22,31,16,,220,220,17,21.9,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/12/15,9.62,,0.02,,0.2,7.1,26,27,6,,350,360,19.9,25.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/13/15,3.8,,0,,0,7.1,7,15,-8,,100,10,10.1,14.1,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/14/15,4.7,,0,,0,7.1,4,19,-12,,210,220,14.1,19.9,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/15/15,11.63,,0,,0,5.1,18,31,11,,220,220,23,25.9,1,,,,,,1,
