"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-05","11.86",,"0.05","0.5","3.1","14","18","10","  260","  220","21.0","23.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-06","6.49"," 1502","0.00","0.0","3.9","15","22","10","  290","  270","14.1","18.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-07","4.92"," 1518","0.10","1.0","3.9","18","23","10","  270","  270","14.1","17.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-08","9.84"," 1554","0.02","0.4","5.1","16","21","9","  260","  260","21.9","25.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-09","7.16"," 1024","0.43","5.3","5.9","18","21","15","  100","  100","13.0","16.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-10","4.47"," 1017","0.09","1.4","9.8","18","20","14","  360","  360","10.1","12.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-11","9.17"," 1934","0.40","3.1","11.0","19","25","17","  270","  260","18.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-12","5.14"," 1249","0.00","0.0","11.0","19","26","8","  260","  330","12.1","14.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-13","7.16"," 1115","0.00","0.0","9.8","16","28","4","  150","  150","16.1","19.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-14","11.86"," 1203","0.00","0.0","9.8","31","44","23","  210","  200","18.1","25.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-15","9.62"," 0940","0.00","0.0","5.1","41","46","36","  220","  230","19.9","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-16","9.17"," 1521","0.00","0.0","2.0","33","36","19","  290","  280","19.9","25.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-17","8.05"," 1358","0.05","0.4","2.0","25","34","16","  240","  230","18.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-18","11.41"," 2329","0.00","0.0","3.1","31","38","25","  160","  170","21.9","28.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-19","9.40"," 2213","0.38","0.0","1.2","37","56","33","  200","  200","18.1","25.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-20","12.53"," 1828","2.29","0.0","0.0","57","61","48","  270","  270","28.0","35.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-21","7.38"," 0913","0.43","0.0","0.0","40","48","30","  310","  320","15.0","19.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-22","9.17"," 1307","0.00","0.0","0.0","33","41","29","   60","   50","15.0","19.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-23","13.42"," 1510","0.12","0.0","0.0","37","44","32","  260","  260","23.0","28.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-24","10.29"," 2331","0.00","0.0","0.0","37","43","33","  130","  130","25.1","31.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-25","21.03"," 0524","0.01","0.0","0.0","40","49","35","  250","  260","38.9","51.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-26","10.07"," 1623","0.00","0.0","0.0","39","50","27","  240","  230","21.0","25.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-27","12.75"," 1411","0.00","0.0","0.0","46","60","38","  210","  240","25.1","34.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-02-28","10.07"," 1235","0.00","0.0","0.0","51","60","38","  260","  260","18.1","23.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-01","10.74",,"0.37","1.4","0.0","37","38","32","   20","   20","18.1","23.0","    1","    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-02","8.95",,"0.00","0.0","1.2","34","44","26","  320","  300","16.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-03","6.26",,"0.00","0.0","0.0","33","42","24","   20","   30","14.1","21.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-04","8.28",,"0.00","0.0","0.0","32","44","21","   70","   70","15.0","19.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-05","10.96",,"0.00","0.0","0.0","32","39","22","  110","  120","21.9","27.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-06","6.26",,"0.05","0.1","0.0","33","38","30","  120","  130","18.1","25.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-07","13.42",,"0.23","2.4","1.2","31","33","24","  280","  280","21.0","28.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-08","14.32",,"0.00","0.0","0.0","26","31","21","  280","  280","25.1","31.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-09","10.29",,"0.00","0.0","0.0","29","33","26","  310","  310","18.1","23.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-10","4.03",,"0.00","0.0","0.0","28","34","17","  340","  350","14.1","21.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-11","3.80",,"0.00","0.0","0.0","29","38","19","  350","  340","14.1","17.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-12","6.93",,"0.05","1.1","0.0","29","39","21","  340","  340","18.1","29.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-13","10.74",,"0.03","0.3","0.0","30","36","25","  320","  320","19.9","27.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-14","12.53",,"0.00","0.0","0.0","29","39","22","  250","  250","23.9","30.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-15","13.42",,"0.00","0.0","0.0","33","38","21","  310","  320","23.9","31.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-16","6.04",,"0.00","0.0","0.0","27","39","19","  350","  350","16.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-17","2.46",,"0.00","0.0","0.0","33","48","19","  310","   40","12.1","18.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-18","8.50",,"0.00","0.0","0.0","39","56","24","  280","  280","21.0","30.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-19","11.63",,"0.00","0.0","0.0","37","45","21","   40","   30","21.9","27.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-20","16.33",,"0.00","0.0","0.0","28","40","21","   40","   30","25.1","32.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-21","10.51",,"0.00","0.0","0.0","30","38","25","   40","   40","19.9","25.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-22","7.38",,"0.00","0.0","0.0","32","45","21","  310","  310","17.0","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-23","7.83",,"0.00","0.0","0.0","33","44","22","   10","  340","16.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-24","11.41",,"0.00","0.0","0.0","31","42","20","   50","   40","23.9","32.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-25","11.18",,"0.00","0.0","0.0","28","42","17","   90","   90","19.9","27.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-26","13.42",,"0.00","0.0","0.0","36","53","20","  120","  110","23.0","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-27","11.41",,"0.37","0.0","0.0","46","52","41","  260","  170","19.9","25.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-28","3.58",,"0.00","0.0","0.0","43","47","39","  140","  100","10.1","13.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-29","4.25",,"0.07","0.0","0.0","43","46","38","   10","  330","13.0","17.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-30","8.05",,"0.00","0.0","0.0","37","45","28","  350","  340","18.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-03-31","14.32",,"0.12","0.0","0.0","39","47","31","  220","  210","33.1","45.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-01","11.18",,"0.00","0.0","0.0","32","37","22","  250","  260","21.9","28.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-02","5.37",,"0.00","0.0","0.0","30","43","19","  230","  190","14.1","21.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-03","10.96",,"0.60","0.0","0.0","37","39","32","   60","   50","21.0","28.0","    1",,"    1",,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-04","15.43",,"0.09","1.0","1.2","31","33","26","  290","  270","32.0","40.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-05","9.17",,"0.00","0.0","0.0","31","41","25","  330","  330","30.0","31.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2018-04-06","13.65",,"0.05","0.6","0.0","33","40","23","  270","  270","33.1","40.9","    1",,,,,,"    1",
