STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,datenumber
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-01,9.62,,0.06,0.2,0.0,31.0,34.0,29.0,220.0,220.0,17.0,23.0,1.0,,,,,,1.0,,737456.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-02,15.43,,0.0,0.0,0.0,38.0,49.0,32.0,270.0,260.0,28.0,38.9,,,,,,,1.0,,737457.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-03,6.04,,0.0,0.0,0.0,39.0,49.0,27.0,40.0,30.0,13.0,16.1,1.0,,,,,,,,737458.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-04,10.96,,0.0,0.0,0.0,34.0,35.0,25.0,30.0,30.0,17.0,23.0,1.0,,,,,,1.0,,737459.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-05,7.38,,0.04,0.6,0.0,25.0,29.0,18.0,350.0,20.0,16.1,21.9,1.0,,,,,,,,737460.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-06,9.62,,0.2,3.6,1.0,24.0,27.0,21.0,20.0,40.0,16.1,23.0,1.0,,,,,,1.0,,737461.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-07,7.61,,0.01,0.3,3.0,25.0,32.0,21.0,280.0,290.0,15.0,19.0,1.0,,,,,,1.0,,737462.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-08,5.59,,0.12,2.3,5.0,24.0,26.0,18.0,70.0,60.0,13.0,15.0,1.0,1.0,,,,,1.0,,737463.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-09,10.96,,0.13,1.7,5.0,25.0,34.0,21.0,140.0,140.0,21.9,28.0,1.0,1.0,,,,,1.0,,737464.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-10,5.82,,0.0,0.0,4.0,31.0,35.0,26.0,290.0,290.0,14.1,18.1,1.0,,,,,,,,737465.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-11,11.63,,0.0,0.0,3.0,28.0,33.0,21.0,280.0,270.0,25.1,35.1,1.0,,,,,,1.0,,737466.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-12,8.5,,0.03,0.3,3.0,26.0,32.0,21.0,210.0,230.0,15.0,19.9,1.0,,,,,,1.0,,737467.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-13,8.05,,0.15,3.7,5.0,25.0,29.0,5.0,350.0,340.0,16.1,23.0,1.0,,,,,,1.0,,737468.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-14,6.93,,0.0,0.0,6.0,10.0,19.0,-1.0,210.0,200.0,15.0,19.0,,,,,,,1.0,,737469.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-15,14.54,,0.01,0.1,6.0,15.0,31.0,5.0,220.0,210.0,23.0,36.0,,,,,,,,,737470.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-16,9.84,,0.0,0.0,5.0,32.0,38.0,22.0,260.0,270.0,19.9,25.1,,,,,,,,,737471.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-17,9.62,,0.09,1.1,5.0,25.0,33.0,17.0,100.0,100.0,17.0,21.9,1.0,,,,,,,,737472.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-18,16.11,,0.03,0.0,5.0,33.0,37.0,26.0,260.0,270.0,29.1,40.9,1.0,,,,,,,,737473.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-19,11.41,,0.0,0.0,3.0,24.0,28.0,13.0,300.0,300.0,23.0,33.1,,,,,,,,,737474.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-20,6.49,,0.0,0.0,3.0,16.0,23.0,9.0,310.0,310.0,15.0,21.9,,,,,,,,,737475.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-21,13.87,,0.0,0.0,5.1,20.0,33.0,11.0,230.0,220.0,21.9,30.0,,,,,,,,,737476.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-22,14.32,,0.0,0.0,3.0,31.0,44.0,25.0,220.0,230.0,21.0,29.1,,,,,,,,,737477.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-23,12.08,1515.0,0.0,0.0,2.0,39.0,50.0,31.0,220.0,230.0,21.9,32.0,,,,,,,,,737478.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-24,,,0.07,0.0,1.0,39.0,44.0,31.0,,,,,,,,,,,,,737479.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-25,,,0.06,0.5,0.0,34.0,36.0,29.0,,,,,,,,,,,,,737480.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-26,,,0.22,4.0,1.0,27.0,29.0,19.0,,,,,,,,,,,,,737481.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-27,,,0.0,0.1,4.0,21.0,24.0,19.0,,,,,,,,,,,,,737482.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-28,,,0.0,0.0,3.0,21.0,26.0,18.0,,,,,,,,,,,,,737483.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-02-29,,,0.0,0.0,3.0,24.0,33.0,17.0,,,,,,,,,,,,,737484.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-01,,,0.0,0.0,0.0,31.0,47.0,21.0,,,,,,,,,,,,,737485.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-02,,,0.0,0.0,0.0,44.0,50.0,36.0,,,,,,,,,,,,,737486.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-03,,,0.0,0.0,0.0,37.0,45.0,30.0,,,,,,,,,,,,,737487.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-04,10.51,,0.0,0.0,0.0,38.0,45.0,26.0,270.0,280.0,21.0,30.0,,,,,,,,,737488.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-05,9.17,,0.02,0.0,0.0,34.0,49.0,22.0,260.0,260.0,23.9,32.0,,,,1.0,,,,,737489.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-06,10.51,,0.08,0.0,0.0,35.0,36.0,25.0,350.0,10.0,23.0,34.0,1.0,,,,,,,,737490.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-07,8.28,,0.0,0.0,0.0,30.0,46.0,18.0,200.0,190.0,17.0,23.9,,,,,,,,,737491.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-08,14.32,,0.0,0.0,0.0,45.0,62.0,35.0,210.0,230.0,23.9,32.0,,,,,,,,,737492.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-09,15.88,,0.14,0.0,0.0,53.0,59.0,49.0,230.0,220.0,23.9,33.1,1.0,,,,,,1.0,,737493.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-10,9.4,,0.1,0.0,0.0,47.0,53.0,32.0,320.0,310.0,23.9,32.0,1.0,,,,,,,,737494.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-11,4.7,,0.01,0.0,0.0,37.0,41.0,31.0,240.0,240.0,15.0,19.9,1.0,,,,,,1.0,,737495.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-12,10.07,,0.0,0.0,0.0,43.0,54.0,38.0,160.0,180.0,21.0,29.1,1.0,,,,,,1.0,,737496.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-13,18.79,,0.03,0.0,0.0,42.0,50.0,32.0,260.0,260.0,31.1,42.9,1.0,,,,,,1.0,,737497.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-14,5.59,,0.0,0.0,0.0,33.0,37.0,27.0,30.0,360.0,13.0,16.1,,,,,,,,,737498.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-15,8.28,1242.0,0.0,0.0,0.0,33.0,44.0,24.0,40.0,40.0,18.1,25.1,,,,,,,,,737499.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-16,,,0.0,0.0,0.0,26.0,46.0,20.0,,,,,,,,,,,,,737500.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2020-03-17,,,0.02,0.0,0.0,,48.0,29.0,,,,,,,,,,,,,737501.0
