STATION,DATE,TAVG,TMAX,TMIN,datenumber
USW00014836,2019-01-01,32.0,34.0,24.0,737060.0
USW00014836,2019-01-02,27.0,33.0,24.0,737061.0
USW00014836,2019-01-03,31.0,38.0,29.0,737062.0
USW00014836,2019-01-04,37.0,50.0,27.0,737063.0
USW00014836,2019-01-05,35.0,50.0,24.0,737064.0
USW00014836,2019-01-06,36.0,39.0,28.0,737065.0
USW00014836,2019-01-07,34.0,51.0,31.0,737066.0
USW00014836,2019-01-08,43.0,44.0,31.0,737067.0
USW00014836,2019-01-09,27.0,31.0,19.0,737068.0
USW00014836,2019-01-10,22.0,27.0,20.0,737069.0
USW00014836,2019-01-11,22.0,28.0,16.0,737070.0
USW00014836,2019-01-12,28.0,30.0,24.0,737071.0
USW00014836,2019-01-13,24.0,31.0,16.0,737072.0
USW00014836,2019-01-14,21.0,34.0,12.0,737073.0
USW00014836,2019-01-15,27.0,28.0,25.0,737074.0
USW00014836,2019-01-16,27.0,32.0,15.0,737075.0
USW00014836,2019-01-17,23.0,31.0,16.0,737076.0
USW00014836,2019-01-18,28.0,30.0,22.0,737077.0
USW00014836,2019-01-19,20.0,22.0,6.0,737078.0
USW00014836,2019-01-20,5.0,9.0,-4.0,737079.0
USW00014836,2019-01-21,-1.0,13.0,-14.0,737080.0
USW00014836,2019-01-22,12.0,31.0,4.0,737081.0
USW00014836,2019-01-23,34.0,41.0,28.0,737082.0
USW00014836,2019-01-24,27.0,28.0,20.0,737083.0
USW00014836,2019-01-25,15.0,20.0,5.0,737084.0
USW00014836,2019-01-26,7.0,15.0,-3.0,737085.0
USW00014836,2019-01-27,13.0,15.0,-3.0,737086.0
USW00014836,2019-01-28,9.0,20.0,-1.0,737087.0
USW00014836,2019-01-29,13.0,15.0,3.0,737088.0
USW00014836,2019-01-30,-2.0,3.0,-14.0,737089.0
USW00014836,2019-01-31,-9.0,4.0,-14.0,737090.0
USW00014836,2019-02-01,2.0,15.0,-7.0,737091.0
USW00014836,2019-02-02,22.0,41.0,10.0,737092.0
USW00014836,2019-02-03,42.0,48.0,38.0,737093.0
USW00014836,2019-02-04,48.0,51.0,39.0,737094.0
USW00014836,2019-02-05,35.0,39.0,29.0,737095.0
USW00014836,2019-02-06,31.0,32.0,29.0,737096.0
USW00014836,2019-02-07,33.0,51.0,28.0,737097.0
USW00014836,2019-02-08,21.0,28.0,13.0,737098.0
USW00014836,2019-02-09,13.0,22.0,4.0,737099.0
USW00014836,2019-02-10,20.0,26.0,15.0,737100.0
USW00014836,2019-02-11,24.0,29.0,22.0,737101.0
USW00014836,2019-02-12,28.0,34.0,25.0,737102.0
USW00014836,2019-02-13,26.0,27.0,18.0,737103.0
USW00014836,2019-02-14,28.0,42.0,19.0,737104.0
USW00014836,2019-02-15,29.0,40.0,17.0,737105.0
USW00014836,2019-02-16,22.0,27.0,15.0,737106.0
USW00014836,2019-02-17,21.0,23.0,13.0,737107.0
USW00014836,2019-02-18,21.0,25.0,9.0,737108.0
USW00014836,2019-02-19,14.0,29.0,0.0,737109.0
USW00014836,2019-02-20,24.0,37.0,17.0,737110.0
USW00014836,2019-02-21,34.0,36.0,24.0,737111.0
USW00014836,2019-02-22,26.0,38.0,14.0,737112.0
USW00014836,2019-02-23,32.0,40.0,25.0,737113.0
USW00014836,2019-02-24,37.0,47.0,22.0,737114.0
USW00014836,2019-02-25,19.0,22.0,13.0,737115.0
USW00014836,2019-02-26,15.0,20.0,12.0,737116.0
USW00014836,2019-02-27,18.0,22.0,16.0,737117.0
