STATION,DATE,TAVG,TMAX,TMIN,datenumber
USW00014836,1/1/16,27,29,24,735964.0
USW00014836,1/2/16,30,35,28,735965.0
USW00014836,1/3/16,31,33,25,735966.0
USW00014836,1/4/16,23,27,7,735967.0
USW00014836,1/5/16,16,29,8,735968.0
USW00014836,1/6/16,25,36,20,735969.0
USW00014836,1/7/16,33,42,28,735970.0
USW00014836,1/8/16,35,39,30,735971.0
USW00014836,1/9/16,40,42,38,735972.0
USW00014836,1/10/16,30,38,16,735973.0
USW00014836,1/11/16,14,16,10,735974.0
USW00014836,1/12/16,17,23,13,735975.0
USW00014836,1/13/16,14,18,12,735976.0
USW00014836,1/14/16,23,34,18,735977.0
USW00014836,1/15/16,35,42,22,735978.0
USW00014836,1/16/16,31,33,26,735979.0
USW00014836,1/17/16,17,26,9,735980.0
USW00014836,1/18/16,11,15,7,735981.0
USW00014836,1/19/16,13,21,5,735982.0
USW00014836,1/20/16,16,22,12,735983.0
USW00014836,1/21/16,19,26,12,735984.0
USW00014836,1/22/16,24,29,18,735985.0
USW00014836,1/23/16,23,26,17,735986.0
USW00014836,1/24/16,23,32,15,735987.0
USW00014836,1/25/16,31,40,26,735988.0
USW00014836,1/26/16,36,43,29,735989.0
USW00014836,1/27/16,29,29,24,735990.0
USW00014836,1/28/16,30,34,26,735991.0
USW00014836,1/29/16,25,29,20,735992.0
USW00014836,1/30/16,35,47,29,735993.0
USW00014836,1/31/16,42,49,38,735994.0
USW00014836,2/1/16,38,44,25,735995.0
USW00014836,2/2/16,31,39,23,735996.0
USW00014836,2/3/16,38,44,31,735997.0
USW00014836,2/4/16,30,32,20,735998.0
USW00014836,2/5/16,26,35,18,735999.0
USW00014836,2/6/16,29,37,20,736000.0
USW00014836,2/7/16,37,47,32,736001.0
USW00014836,2/8/16,36,40,29,736002.0
USW00014836,2/9/16,30,33,22,736003.0
USW00014836,2/10/16,20,22,11,736004.0
USW00014836,2/11/16,15,23,10,736005.0
USW00014836,2/12/16,17,22,6,736006.0
USW00014836,2/13/16,9,15,2,736007.0
USW00014836,2/14/16,9,18,0,736008.0
USW00014836,2/15/16,19,26,15,736009.0
USW00014836,2/16/16,27,29,25,736010.0
USW00014836,2/17/16,27,30,11,736011.0
USW00014836,2/18/16,19,34,4,736012.0
USW00014836,2/19/16,42,60,33,736013.0
USW00014836,2/20/16,48,54,38,736014.0
USW00014836,2/21/16,39,41,32,736015.0
USW00014836,2/22/16,33,40,29,736016.0
USW00014836,2/23/16,34,45,22,736017.0
USW00014836,2/24/16,31,32,28,736018.0
USW00014836,2/25/16,30,34,24,736019.0
USW00014836,2/26/16,26,32,18,736020.0
USW00014836,2/27/16,32,44,25,736021.0
USW00014836,2/28/16,45,56,36,736022.0
USW00014836,2/29/16,38,44,24,736023.0
USW00014836,3/1/16,22,24,19,736024.0
USW00014836,3/2/16,20,27,11,736025.0
USW00014836,3/3/16,19,28,9,736026.0
USW00014836,3/4/16,22,34,5,736027.0
USW00014836,3/5/16,28,33,24,736028.0
USW00014836,3/6/16,27,41,14,736029.0
USW00014836,3/7/16,45,58,41,736030.0
USW00014836,3/8/16,57,70,49,736031.0
USW00014836,3/9/16,62,68,56,736032.0
USW00014836,3/10/16,53,57,41,736033.0
USW00014836,3/11/16,43,55,31,736034.0
USW00014836,3/12/16,44,59,29,736035.0
USW00014836,3/13/16,47,49,44,736036.0
USW00014836,3/14/16,48,52,45,736037.0
USW00014836,3/15/16,48,57,41,736038.0
USW00014836,3/16/16,50,56,46,736039.0
USW00014836,3/17/16,47,50,33,736040.0
USW00014836,3/18/16,37,48,29,736041.0
USW00014836,3/19/16,34,40,25,736042.0
USW00014836,3/20/16,31,43,22,736043.0
USW00014836,3/21/16,35,45,27,736044.0
USW00014836,3/22/16,43,60,33,736045.0
USW00014836,3/23/16,40,47,33,736046.0
USW00014836,3/24/16,35,39,29,736047.0
USW00014836,3/25/16,32,44,26,736048.0
USW00014836,3/26/16,38,52,26,736049.0
USW00014836,3/27/16,48,70,34,736050.0
USW00014836,3/28/16,46,46,34,736051.0
USW00014836,3/29/16,38,51,29,736052.0
USW00014836,3/30/16,45,61,35,736053.0
USW00014836,3/31/16,58,63,43,736054.0
USW00014836,4/1/16,44,49,34,736055.0
USW00014836,4/2/16,35,38,25,736056.0
USW00014836,4/3/16,30,52,20,736057.0
USW00014836,4/4/16,33,33,24,736058.0
USW00014836,4/5/16,29,42,19,736059.0
USW00014836,4/6/16,38,47,32,736060.0
USW00014836,4/7/16,37,39,31,736061.0
USW00014836,4/8/16,32,40,26,736062.0
USW00014836,4/9/16,28,32,23,736063.0
USW00014836,4/10/16,30,41,27,736064.0
USW00014836,4/11/16,44,53,34,736065.0
USW00014836,4/12/16,38,47,30,736066.0
USW00014836,4/13/16,41,53,29,736067.0
USW00014836,4/14/16,45,60,31,736068.0
USW00014836,4/15/16,50,70,33,736069.0
USW00014836,4/16/16,59,76,40,736070.0
USW00014836,4/17/16,62,78,41,736071.0
