STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/9/16,12.97,,0.07,,0.8,1.2,30,33,22,,290,300,19.9,27.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/10/16,13.87,,0.01,,0.2,1.2,20,22,11,,300,290,23.9,28,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/11/16,8.95,,0,,0,1.2,15,23,10,,310,300,18.1,23.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/12/16,14.54,,0.02,,0.4,1.2,17,22,6,,310,310,25.1,33.1,,,,,,,1,1
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/13/16,9.62,,0,,0,2,9,15,2,,300,300,21.9,29.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/14/16,8.05,,0,,0,2,9,18,0,,140,130,18.1,23.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/15/16,6.93,,0.02,,0.2,2,19,26,15,,130,130,15,19,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/16/16,3.8,,0.06,,1.2,2,27,29,25,,290,290,12.1,13,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/17/16,5.82,,0,,0,3.1,27,30,11,,320,300,16.1,19,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/18/16,10.74,,0,,0,2,19,34,4,,160,140,21.9,30,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/19/16,24.61,,0,,0,1.2,42,60,33,,240,230,47,61.1,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2/20/16,15.88,,0,,0,0,48,54,38,,250,260,31.1,40,,,,,,,,
