STATION,DATE,TAVG,TMAX,TMIN,datenumber
USW00014836,2020-01-01,29.0,39.0,24.0,737425.0
USW00014836,2020-01-02,39.0,45.0,36.0,737426.0
USW00014836,2020-01-03,39.0,41.0,33.0,737427.0
USW00014836,2020-01-04,32.0,33.0,29.0,737428.0
USW00014836,2020-01-05,30.0,36.0,28.0,737429.0
USW00014836,2020-01-06,35.0,42.0,29.0,737430.0
USW00014836,2020-01-07,32.0,38.0,26.0,737431.0
USW00014836,2020-01-08,24.0,29.0,11.0,737432.0
USW00014836,2020-01-09,23.0,48.0,16.0,737433.0
USW00014836,2020-01-10,47.0,48.0,44.0,737434.0
USW00014836,2020-01-11,40.0,51.0,24.0,737435.0
USW00014836,2020-01-12,24.0,27.0,19.0,737436.0
USW00014836,2020-01-13,29.0,34.0,27.0,737437.0
USW00014836,2020-01-14,34.0,37.0,32.0,737438.0
USW00014836,2020-01-15,33.0,37.0,25.0,737439.0
USW00014836,2020-01-16,29.0,34.0,20.0,737440.0
USW00014836,2020-01-17,22.0,26.0,17.0,737441.0
USW00014836,2020-01-18,29.0,37.0,22.0,737442.0
USW00014836,2020-01-19,21.0,23.0,7.0,737443.0
USW00014836,2020-01-20,15.0,24.0,6.0,737444.0
USW00014836,2020-01-21,21.0,28.0,14.0,737445.0
USW00014836,2020-01-22,24.0,31.0,20.0,737446.0
USW00014836,2020-01-23,31.0,36.0,28.0,737447.0
USW00014836,2020-01-24,34.0,36.0,33.0,737448.0
USW00014836,2020-01-25,35.0,35.0,32.0,737449.0
USW00014836,2020-01-26,34.0,34.0,33.0,737450.0
USW00014836,2020-01-27,33.0,35.0,30.0,737451.0
USW00014836,2020-01-28,32.0,33.0,30.0,737452.0
USW00014836,2020-01-29,30.0,31.0,28.0,737453.0
USW00014836,2020-01-30,29.0,32.0,28.0,737454.0
USW00014836,2020-01-31,31.0,35.0,29.0,737455.0
USW00014836,2020-02-01,31.0,34.0,29.0,737456.0
USW00014836,2020-02-02,38.0,49.0,32.0,737457.0
USW00014836,2020-02-03,39.0,49.0,27.0,737458.0
USW00014836,2020-02-04,34.0,35.0,25.0,737459.0
USW00014836,2020-02-05,25.0,29.0,18.0,737460.0
USW00014836,2020-02-06,24.0,27.0,21.0,737461.0
USW00014836,2020-02-07,25.0,32.0,21.0,737462.0
USW00014836,2020-02-08,24.0,26.0,18.0,737463.0
USW00014836,2020-02-09,25.0,34.0,21.0,737464.0
USW00014836,2020-02-10,31.0,35.0,26.0,737465.0
USW00014836,2020-02-11,28.0,33.0,21.0,737466.0
USW00014836,2020-02-12,26.0,32.0,21.0,737467.0
USW00014836,2020-02-13,25.0,29.0,5.0,737468.0
USW00014836,2020-02-14,10.0,19.0,-1.0,737469.0
USW00014836,2020-02-15,15.0,31.0,5.0,737470.0
USW00014836,2020-02-16,32.0,38.0,22.0,737471.0
USW00014836,2020-02-17,25.0,33.0,17.0,737472.0
USW00014836,2020-02-18,33.0,37.0,26.0,737473.0
USW00014836,2020-02-19,24.0,28.0,13.0,737474.0
USW00014836,2020-02-20,16.0,23.0,9.0,737475.0
USW00014836,2020-02-21,20.0,33.0,11.0,737476.0
USW00014836,2020-02-22,31.0,44.0,25.0,737477.0
USW00014836,2020-02-23,39.0,50.0,31.0,737478.0
USW00014836,2020-02-24,39.0,44.0,31.0,737479.0
USW00014836,2020-02-25,34.0,36.0,29.0,737480.0
USW00014836,2020-02-26,27.0,29.0,19.0,737481.0
USW00014836,2020-02-27,21.0,24.0,19.0,737482.0
USW00014836,2020-02-28,21.0,26.0,18.0,737483.0
USW00014836,2020-02-29,24.0,33.0,17.0,737484.0
USW00014836,2020-03-01,31.0,47.0,21.0,737485.0
USW00014836,2020-03-02,44.0,50.0,36.0,737486.0
USW00014836,2020-03-03,37.0,45.0,30.0,737487.0
USW00014836,2020-03-04,38.0,45.0,26.0,737488.0
USW00014836,2020-03-05,34.0,49.0,22.0,737489.0
USW00014836,2020-03-06,35.0,36.0,25.0,737490.0
USW00014836,2020-03-07,30.0,46.0,18.0,737491.0
USW00014836,2020-03-08,45.0,62.0,35.0,737492.0
USW00014836,2020-03-09,53.0,59.0,49.0,737493.0
USW00014836,2020-03-10,47.0,53.0,32.0,737494.0
USW00014836,2020-03-11,37.0,41.0,31.0,737495.0
USW00014836,2020-03-12,43.0,54.0,38.0,737496.0
USW00014836,2020-03-13,42.0,50.0,32.0,737497.0
USW00014836,2020-03-14,33.0,37.0,27.0,737498.0
USW00014836,2020-03-15,33.0,44.0,24.0,737499.0
USW00014836,2020-03-16,26.0,46.0,20.0,737500.0
USW00014836,2020-03-17,,48.0,29.0,737501.0
