STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,datenumber
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-01,8.05,,0.02,0.0,0.0,32.0,34.0,24.0,300.0,310.0,16.1,19.9,1.0,,,,,,,,737060.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-02,8.28,,0.05,,0.0,27.0,33.0,24.0,260.0,260.0,21.0,25.9,1.0,,,,1.0,,,,737061.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-03,14.32,,0.0,0.0,0.0,31.0,38.0,29.0,230.0,210.0,21.0,28.0,,,,,,,,,737062.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-04,7.38,,0.0,0.0,0.0,37.0,50.0,27.0,240.0,230.0,18.1,23.0,,,,,,,,,737063.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-05,7.61,,0.0,0.0,0.0,35.0,50.0,24.0,260.0,250.0,19.9,25.1,1.0,,,,,,1.0,,737064.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-06,7.61,,0.0,0.0,0.0,36.0,39.0,28.0,100.0,110.0,17.0,21.9,,,,,,,,,737065.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-07,19.69,,0.21,0.0,0.0,34.0,51.0,31.0,250.0,260.0,32.0,42.1,1.0,,,1.0,,,,,737066.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-08,12.75,,0.01,0.0,0.0,43.0,44.0,31.0,290.0,280.0,30.0,36.9,1.0,,,,,,1.0,,737067.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-09,15.66,,0.02,0.2,0.0,27.0,31.0,19.0,300.0,310.0,23.9,33.1,1.0,,,,,,1.0,,737068.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-10,10.29,,0.0,0.0,0.0,22.0,27.0,20.0,310.0,320.0,21.9,29.1,,,,,,,,,737069.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-11,3.58,,0.0,0.0,0.0,22.0,28.0,16.0,140.0,150.0,8.9,11.0,,,,,,,,,737070.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-12,9.4,,0.0,0.0,0.0,28.0,30.0,24.0,80.0,60.0,19.9,23.9,,,,,,,,,737071.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-13,8.5,,0.0,0.0,0.0,24.0,31.0,16.0,50.0,70.0,17.0,21.9,,,,,,,,,737072.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-14,4.92,,0.0,0.0,0.0,21.0,34.0,12.0,270.0,240.0,14.1,17.0,,,,,,,,,737073.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-15,13.2,,0.0,0.0,0.0,27.0,28.0,25.0,230.0,220.0,23.0,30.0,1.0,,,,,1.0,,,737074.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-16,7.61,,0.01,0.0,0.0,27.0,32.0,15.0,230.0,250.0,18.1,23.0,1.0,,,,,1.0,,,737075.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-17,5.82,,0.02,0.0,0.0,23.0,31.0,16.0,140.0,140.0,15.0,18.1,1.0,,,,,,1.0,,737076.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-18,6.93,,0.01,0.1,0.0,28.0,30.0,22.0,60.0,60.0,15.0,18.1,1.0,,,,,,,,737077.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-19,14.32,,0.29,4.0,2.0,20.0,22.0,6.0,40.0,40.0,25.1,32.0,1.0,,,,,,1.0,,737078.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-20,10.07,,0.0,0.0,0.0,5.0,9.0,-4.0,330.0,340.0,18.1,23.0,,,,,,,,,737079.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-21,4.03,,0.0,0.0,3.9,-1.0,13.0,-14.0,170.0,160.0,15.0,18.1,,,,,,,1.0,,737080.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-22,12.97,,0.1,,3.1,12.0,31.0,4.0,160.0,160.0,29.1,35.1,1.0,,,1.0,,1.0,,,737081.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-23,11.18,,0.37,,,34.0,41.0,28.0,270.0,280.0,23.9,29.1,1.0,,,,,,,,737082.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-24,12.97,,0.0,,2.0,27.0,28.0,20.0,280.0,270.0,21.9,30.0,1.0,,,,,,1.0,,737083.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-25,15.21,,0.01,,,15.0,20.0,5.0,240.0,250.0,25.1,31.1,,,,,,,,,737084.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-26,4.7,,0.01,,,7.0,15.0,-3.0,180.0,170.0,14.1,17.0,,,,,,,,,737085.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-27,9.17,,0.01,,,13.0,15.0,-3.0,250.0,260.0,21.9,29.1,,,,,,,,,737086.0
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",2019-01-28,10.07,,0.53,,,9.0,20.0,-1.0,110.0,120.0,25.9,34.0,1.0,1.0,,,,1.0,,,737087.0
