STATION,DATE,TAVG,TMAX,TMIN,datenumber
USW00014836,1/1/15,21,29,19,735599.0
USW00014836,1/2/15,29,34,22,735600.0
USW00014836,1/3/15,29,33,22,735601.0
USW00014836,1/4/15,31,32,14,735602.0
USW00014836,1/5/15,10,14,4,735603.0
USW00014836,1/6/15,9,17,5,735604.0
USW00014836,1/7/15,9,13,1,735605.0
USW00014836,1/8/15,4,13,-1,735606.0
USW00014836,1/9/15,11,15,3,735607.0
USW00014836,1/10/15,6,16,2,735608.0
USW00014836,1/11/15,22,31,16,735609.0
USW00014836,1/12/15,26,27,6,735610.0
USW00014836,1/13/15,7,15,-8,735611.0
USW00014836,1/14/15,4,19,-12,735612.0
USW00014836,1/15/15,18,31,11,735613.0
USW00014836,1/16/15,26,32,18,735614.0
USW00014836,1/17/15,27,45,17,735615.0
USW00014836,1/18/15,36,39,32,735616.0
USW00014836,1/19/15,32,33,28,735617.0
USW00014836,1/20/15,28,31,25,735618.0
USW00014836,1/21/15,26,28,22,735619.0
USW00014836,1/22/15,24,30,20,735620.0
USW00014836,1/23/15,27,32,21,735621.0
USW00014836,1/24/15,30,37,25,735622.0
USW00014836,1/25/15,27,33,15,735623.0
USW00014836,1/26/15,16,26,8,735624.0
USW00014836,1/27/15,18,27,12,735625.0
USW00014836,1/28/15,18,31,8,735626.0
USW00014836,1/29/15,29,32,23,735627.0
USW00014836,1/30/15,22,23,16,735628.0
USW00014836,1/31/15,23,33,16,735629.0
USW00014836,2/1/15,23,30,14,735630.0
USW00014836,2/2/15,11,15,4,735631.0
USW00014836,2/3/15,13,24,5,735632.0
USW00014836,2/4/15,24,26,9,735633.0
USW00014836,2/5/15,9,17,-6,735634.0
USW00014836,2/6/15,17,29,10,735635.0
USW00014836,2/7/15,30,39,26,735636.0
USW00014836,2/8/15,33,37,20,735637.0
USW00014836,2/9/15,20,22,11,735638.0
USW00014836,2/10/15,13,28,-1,735639.0
USW00014836,2/11/15,24,32,18,735640.0
USW00014836,2/12/15,16,24,2,735641.0
USW00014836,2/13/15,8,20,-3,735642.0
USW00014836,2/14/15,16,22,0,735643.0
USW00014836,2/15/15,-3,1,-13,735644.0
USW00014836,2/16/15,-1,10,-13,735645.0
USW00014836,2/17/15,10,21,4,735646.0
USW00014836,2/18/15,10,13,-2,735647.0
USW00014836,2/19/15,-1,5,-10,735648.0
USW00014836,2/20/15,-2,13,-16,735649.0
USW00014836,2/21/15,17,28,13,735650.0
USW00014836,2/22/15,20,24,1,735651.0
USW00014836,2/23/15,2,12,-13,735652.0
USW00014836,2/24/15,10,23,5,735653.0
USW00014836,2/25/15,14,21,0,735654.0
USW00014836,2/26/15,10,12,-4,735655.0
USW00014836,2/27/15,4,18,-11,735656.0
USW00014836,2/28/15,11,21,0,735657.0
USW00014836,3/1/15,17,26,5,735658.0
USW00014836,3/2/15,24,30,17,735659.0
USW00014836,3/3/15,26,34,21,735660.0
USW00014836,3/4/15,28,30,11,735661.0
USW00014836,3/5/15,11,17,-1,735662.0
USW00014836,3/6/15,11,23,2,735663.0
USW00014836,3/7/15,26,44,16,735664.0
USW00014836,3/8/15,33,42,27,735665.0
USW00014836,3/9/15,36,47,24,735666.0
USW00014836,3/10/15,40,47,33,735667.0
USW00014836,3/11/15,42,51,30,735668.0
USW00014836,3/12/15,38,47,28,735669.0
USW00014836,3/13/15,40,58,28,735670.0
USW00014836,3/14/15,44,48,36,735671.0
USW00014836,3/15/15,39,53,27,735672.0
USW00014836,3/16/15,53,70,46,735673.0
USW00014836,3/17/15,43,47,25,735674.0
USW00014836,3/18/15,34,48,23,735675.0
USW00014836,3/19/15,33,43,23,735676.0
USW00014836,3/20/15,39,53,28,735677.0
USW00014836,3/21/15,43,51,27,735678.0
USW00014836,3/22/15,28,36,19,735679.0
USW00014836,3/23/15,28,34,21,735680.0
USW00014836,3/24/15,27,44,14,735681.0
USW00014836,3/25/15,37,48,29,735682.0
USW00014836,3/26/15,38,41,28,735683.0
USW00014836,3/27/15,25,30,15,735684.0
USW00014836,3/28/15,23,36,11,735685.0
USW00014836,3/29/15,31,44,21,735686.0
USW00014836,3/30/15,43,56,34,735687.0
USW00014836,3/31/15,42,49,34,735688.0
USW00014836,4/1/15,44,65,25,735689.0
USW00014836,4/2/15,55,63,43,735690.0
USW00014836,4/3/15,47,51,28,735691.0
USW00014836,4/4/15,35,51,21,735692.0
USW00014836,4/5/15,44,56,35,735693.0
USW00014836,4/6/15,47,64,33,735694.0
USW00014836,4/7/15,43,54,35,735695.0
USW00014836,4/8/15,41,42,36,735696.0
USW00014836,4/9/15,45,67,37,735697.0
USW00014836,4/10/15,51,68,39,735698.0
USW00014836,4/11/15,45,59,31,735699.0
USW00014836,4/12/15,52,68,38,735700.0
USW00014836,4/13/15,58,62,45,735701.0
USW00014836,4/14/15,53,68,35,735702.0
USW00014836,4/15/15,54,66,37,735703.0
USW00014836,4/16/15,53,62,41,735704.0
USW00014836,4/17/15,60,76,40,735705.0
USW00014836,4/18/15,60,70,45,735706.0
USW00014836,4/19/15,53,70,39,735707.0
USW00014836,4/20/15,53,60,42,735708.0
USW00014836,4/21/15,42,46,38,735709.0
USW00014836,4/22/15,37,39,33,735710.0
USW00014836,4/23/15,35,42,30,735711.0
USW00014836,4/24/15,39,57,25,735712.0
USW00014836,4/25/15,47,57,37,735713.0
USW00014836,4/26/15,44,60,28,735714.0
USW00014836,4/27/15,45,55,36,735715.0
USW00014836,4/28/15,49,63,33,735716.0
USW00014836,4/29/15,52,66,36,735717.0
USW00014836,4/30/15,48,63,35,735718.0
USW00014836,5/1/15,56,73,39,735719.0
USW00014836,5/2/15,60,75,42,735720.0
USW00014836,5/3/15,65,80,52,735721.0
USW00014836,5/4/15,68,75,58,735722.0
USW00014836,5/5/15,55,58,48,735723.0
USW00014836,5/6/15,58,74,52,735724.0
USW00014836,5/7/15,69,85,57,735725.0
USW00014836,5/8/15,73,83,62,735726.0
USW00014836,5/9/15,67,73,59,735727.0
USW00014836,5/10/15,60,64,51,735728.0
USW00014836,5/11/15,58,71,49,735729.0
USW00014836,5/12/15,53,56,46,735730.0
USW00014836,5/13/15,47,57,38,735731.0
USW00014836,5/14/15,51,65,37,735732.0
USW00014836,5/15/15,59,73,50,735733.0
USW00014836,5/16/15,65,77,55,735734.0
USW00014836,5/17/15,71,81,64,735735.0
USW00014836,5/18/15,74,83,54,735736.0
USW00014836,5/19/15,54,54,39,735737.0
USW00014836,5/20/15,45,59,34,735738.0
USW00014836,5/21/15,53,64,45,735739.0
USW00014836,5/22/15,57,67,44,735740.0
USW00014836,5/23/15,59,76,41,735741.0
USW00014836,5/24/15,66,75,55,735742.0
USW00014836,5/25/15,71,81,65,735743.0
USW00014836,5/26/15,70,82,65,735744.0
USW00014836,5/27/15,70,77,57,735745.0
USW00014836,5/28/15,67,80,52,735746.0
USW00014836,5/29/15,72,84,62,735747.0
USW00014836,5/30/15,69,74,50,735748.0
USW00014836,5/31/15,49,52,45,735749.0
USW00014836,6/1/15,52,64,41,735750.0
USW00014836,6/2/15,55,72,39,735751.0
USW00014836,6/3/15,62,75,45,735752.0
USW00014836,6/4/15,67,80,57,735753.0
USW00014836,6/5/15,67,72,58,735754.0
USW00014836,6/6/15,61,73,50,735755.0
USW00014836,6/7/15,65,78,53,735756.0
USW00014836,6/8/15,72,81,62,735757.0
USW00014836,6/9/15,67,77,56,735758.0
USW00014836,6/10/15,74,85,61,735759.0
USW00014836,6/11/15,67,74,56,735760.0
USW00014836,6/12/15,62,69,56,735761.0
USW00014836,6/13/15,61,72,57,735762.0
USW00014836,6/14/15,71,80,67,735763.0
USW00014836,6/15/15,73,81,67,735764.0
USW00014836,6/16/15,73,79,61,735765.0
USW00014836,6/17/15,66,76,55,735766.0
USW00014836,6/18/15,69,78,64,735767.0
USW00014836,6/19/15,65,72,55,735768.0
USW00014836,6/20/15,65,79,52,735769.0
USW00014836,6/21/15,74,83,65,735770.0
USW00014836,6/22/15,72,82,61,735771.0
USW00014836,6/23/15,73,77,62,735772.0
USW00014836,6/24/15,68,80,54,735773.0
USW00014836,6/25/15,68,75,61,735774.0
USW00014836,6/26/15,67,76,58,735775.0
USW00014836,6/27/15,62,66,56,735776.0
USW00014836,6/28/15,65,77,55,735777.0
USW00014836,6/29/15,67,78,59,735778.0
USW00014836,6/30/15,65,72,59,735779.0
USW00014836,7/1/15,63,70,57,735780.0
USW00014836,7/2/15,63,73,54,735781.0
USW00014836,7/3/15,63,77,48,735782.0
USW00014836,7/4/15,66,80,52,735783.0
USW00014836,7/5/15,71,83,57,735784.0
USW00014836,7/6/15,73,83,61,735785.0
USW00014836,7/7/15,71,76,54,735786.0
USW00014836,7/8/15,59,67,50,735787.0
USW00014836,7/9/15,64,76,60,735788.0
USW00014836,7/10/15,67,80,55,735789.0
USW00014836,7/11/15,70,81,57,735790.0
USW00014836,7/12/15,72,81,65,735791.0
USW00014836,7/13/15,70,82,62,735792.0
USW00014836,7/14/15,71,77,65,735793.0
USW00014836,7/15/15,65,73,54,735794.0
USW00014836,7/16/15,64,76,52,735795.0
USW00014836,7/17/15,73,87,64,735796.0
USW00014836,7/18/15,76,85,69,735797.0
USW00014836,7/19/15,76,84,64,735798.0
USW00014836,7/20/15,72,83,60,735799.0
USW00014836,7/21/15,72,79,60,735800.0
USW00014836,7/22/15,67,78,55,735801.0
USW00014836,7/23/15,71,84,57,735802.0
USW00014836,7/24/15,74,86,60,735803.0
USW00014836,7/25/15,76,86,67,735804.0
USW00014836,7/26/15,75,87,60,735805.0
USW00014836,7/27/15,75,89,62,735806.0
USW00014836,7/28/15,77,89,63,735807.0
USW00014836,7/29/15,78,88,68,735808.0
USW00014836,7/30/15,75,86,64,735809.0
USW00014836,7/31/15,75,86,64,735810.0
USW00014836,8/1/15,72,83,60,735811.0
USW00014836,8/2/15,75,92,61,735812.0
USW00014836,8/3/15,71,79,62,735813.0
USW00014836,8/4/15,69,80,59,735814.0
USW00014836,8/5/15,67,78,56,735815.0
USW00014836,8/6/15,68,79,59,735816.0
USW00014836,8/7/15,67,79,57,735817.0
USW00014836,8/8/15,69,73,64,735818.0
USW00014836,8/9/15,72,84,66,735819.0
USW00014836,8/10/15,72,79,64,735820.0
USW00014836,8/11/15,70,80,62,735821.0
USW00014836,8/12/15,66,77,56,735822.0
USW00014836,8/13/15,70,84,60,735823.0
USW00014836,8/14/15,74,85,67,735824.0
USW00014836,8/15/15,73,87,63,735825.0
USW00014836,8/16/15,78,88,68,735826.0
USW00014836,8/17/15,77,87,70,735827.0
USW00014836,8/18/15,74,84,66,735828.0
USW00014836,8/19/15,76,85,67,735829.0
USW00014836,8/20/15,67,71,58,735830.0
USW00014836,8/21/15,65,78,54,735831.0
USW00014836,8/22/15,69,80,60,735832.0
USW00014836,8/23/15,68,78,58,735833.0
USW00014836,8/24/15,63,71,56,735834.0
USW00014836,8/25/15,58,62,54,735835.0
USW00014836,8/26/15,60,67,56,735836.0
USW00014836,8/27/15,59,68,49,735837.0
