"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-01-31","11.63",,"0.00",,,"-9","4","-14","  250","  230","23.9","27.1",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-01","4.70",,"0.00","0.0",,"2","15","-7","  190","  190","14.1","18.1",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-02","11.86",,"0.00","0.0",,"22","41","10","  220","  220","23.0","29.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-03","12.30",,"0.00","0.0",,"42","48","38","  210","  210","17.0","23.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-04","11.63",,"0.18","0.0",,"48","51","39","  270","  270","23.9","29.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-05","10.07",,"0.00","0.0",,"35","39","29","  270","  270","21.0","25.9","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-06","6.93",,"0.64","0.7","0.0","31","32","29","  110","  110","19.9","25.9","    1",,,"    1",,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-07","12.53",,"0.19","0.0","0.0","33","51","28","  270","  270","40.0","51.0","    1","    1",,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-08","21.47",,"0.04","1.1","0.0","21","28","13","  240","  260","38.0","48.1","    1","    1",,,,,"    1","    1"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-09","4.70",,"0.00","0.0","1.2","13","22","4","  280","  290","18.1","21.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-10","7.61",,"0.08","1.5","1.2","20","26","15","  130","  130","15.0","18.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-11","10.74",,"0.01","0.2","2.0","24","29","22","   80","   80","18.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-12","13.42",,"0.59","4.8","3.9","28","34","25","  260","  250","36.0","42.9",,,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-13","19.01",,"0.08","2.5","7.9","26","27","18","  270","  270","32.0","40.9","    1",,,,,,,"    1"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-14","10.07",,"0.00","0.0","5.1","28","42","19","  150","  190","16.1","19.9",,,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-15","18.79",,"0.00","0.0","5.1","29","40","17","  270","  270","31.1","38.0","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-16","6.04",,"0.00","0.0","5.1","22","27","15","   30","  350","12.1","15.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-17","10.07",,"0.11","1.0","5.1","21","23","13","  100","  100","18.1","21.9","    1","    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-18","6.26",,"0.05","1.9","7.1","21","25","9","   20","   20","14.1","17.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-19","2.24",,"0.00","0.0","3.9","14","29","0","  140","  340","8.9","13.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-20","13.65",,"0.03","0.0","3.9","24","37","17","  250","  260","29.1","38.0","    1",,,,,"    1",,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-21","16.11",,"0.00","0.0","3.1","34","36","24","  260","  260","31.1","36.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-22","2.91",,"0.00","0.0","1.2","26","38","14","  150","  140","10.1","14.1","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-23","10.29",,"0.08","0.0","1.2","32","40","25","  130","  150","18.1","23.9","    1",,,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-24","23.94",,"0.33","1.6","1.2","37","47","22","  260","  270","40.9","55.9","    1","    1",,,,,"    1",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-02-25","18.12",,"0.04","0.8","3.1","19","22","13","  290","  280","33.1","44.1","    1",,,,,,"    1",
