STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/1/17,6.49,,0,,0,0,31,42,21,,240,230,16.1,19,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/2/17,6.71,,0.53,,0,0,33,44,23,,100,100,16.1,19,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/3/17,7.38,,0.01,,0,0,36,37,35,,300,280,21.9,29.1,1,1,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/4/17,20.8,,0.01,,0.4,0,25,35,15,,270,270,35.1,46.1,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/5/17,10.96,,0,,0.1,0,14,15,7,,280,280,21.9,28,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/6/17,8.95,,0,,0,0,9,15,4,,270,250,19.9,23,,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/7/17,9.84,,0.02,,0.4,0,9,14,4,,270,300,21.9,27.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/8/17,10.29,,0,,0,0,11,17,6,,180,180,19.9,25.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/9/17,12.97,,0.05,,0.6,0,20,27,15,,220,210,19.9,27.1,1,,,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/10/17,20.8,,0.43,,2.1,3.1,32,47,26,,250,270,40,53,1,,,1,,1,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/11/17,13.87,,0.66,,0,0,36,48,27,,240,250,38,50.1,1,,1,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/12/17,9.4,,0.1,,0.1,0,33,37,24,,280,270,21,25.9,1,,,1,1,1,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",1/13/17,6.26,,0,,0,0,22,24,17,,310,320,16.1,21.9,,,,,,,,
